email;fio;tel;cat
nikolaev89@mail.ru;Николаев Александр Сергеевич;+79890123456;ЖД
fedorova12@bk.ru;Федорова Мария Геннадьевна;+79901234567;море
ivanov45@gmail.com;Иванов Андрей Иванович;+79123456789;авто
petrova89@mail.ru;Петрова Ольга Петровна;+79987654321;ЖД
sidorov78@yandex.ru;Сидоров Дмитрий Сергеевич;+79234567890;море
kuznetsova12@mail.ru;Кузнецова Татьяна Дмитриевна;+79345678901;авто
smirnov34@bk.ru;Смирнов Евгений Александрович;+79456789012;ЖД
popova56@gmail.com;Попова Анна Андреевна;+79567890123;море
vasiliev89@rambler.ru;Васильев Сергей Владимирович;+79678901234;авто
morozova45@yandex.ru;Морозова Мария Михайловна;+79789012345;ЖД
nikolaev12@mail.ru;Николаев Петр Сергеевич;+79890123456;море
fedorova78@bk.ru;Федорова Елена Геннадьевна;+79901234567;авто
ivanov23@gmail.com;Иванов Михаил Иванович;+79123456789;ЖД
petrova12@mail.ru;Петрова Татьяна Петровна;+79987654321;море
sidorov89@yandex.ru;Сидоров Александр Сергеевич;+79234567890;авто
kuznetsova45@mail.ru;Кузнецова Ольга Дмитриевна;+79345678901;ЖД
smirnov78@bk.ru;Смирнов Дмитрий Александрович;+79456789012;море
popova89@gmail.com;Попова Мария Андреевна;+79567890123;авто
vasiliev23@rambler.ru;Васильев Петр Владимирович;+79678901234;ЖД
morozova89@yandex.ru;Морозова Татьяна Михайловна;+79789012345;море
nikolaev45@mail.ru;Николаев Сергей Сергеевич;+79890123456;авто
fedorova23@bk.ru;Федорова Анна Геннадьевна;+79901234567;ЖД
ivanov56@gmail.com;Иванов Петр Иванович;+79123456789;море
petrova34@mail.ru;Петрова Мария Петровна;+79987654321;авто
sidorov12@yandex.ru;Сидоров Иван Сергеевич;+79234567890;ЖД
kuznetsova78@mail.ru;Кузнецова Елена Дмитриевна;+79345678901;море
smirnov89@bk.ru;Смирнов Александр Александрович;+79456789012;авто
popova45@gmail.com;Попова Ольга Андреевна;+79567890123;ЖД
vasiliev78@rambler.ru;Васильев Дмитрий Владимирович;+79678901234;море
morozova34@yandex.ru;Морозова Татьяна Михайловна;+79789012345;авто
nikolaev56@mail.ru;Николаев Сергей Сергеевич;+79890123456;ЖД
fedorova89@bk.ru;Федорова Анна Геннадьевна;+79901234567;море
ivanov12@gmail.com;Иванов Дмитрий Иванович;+79123456789;авто
petrova56@mail.ru;Петрова Татьяна Петровна;+79987654321;ЖД
sidorov45@yandex.ru;Сидоров Александр Сергеевич;+79234567890;море
kuznetsova23@mail.ru;Кузнецова Ольга Дмитриевна;+79345678901;авто
smirnov34@bk.ru;Смирнов Иван Александрович;+79456789012;ЖД
popova78@gmail.com;Попова Мария Андреевна;+79567890123;море
vasiliev12@rambler.ru;Васильев Петр Владимирович;+79678901234;авто
morozova56@yandex.ru;Морозова Елена Михайловна;+79789012345;ЖД
nikolaev78@mail.ru;Николаев Александр Сергеевич;+79890123456;море
fedorova45@bk.ru;Федорова Мария Геннадьевна;+79901234567;авто
ivanov89@gmail.com;Иванов Андрей Иванович;+79123456789;ЖД
petrova23@mail.ru;Петрова Ольга Петровна;+79987654321;море
sidorov56@yandex.ru;Сидоров Дмитрий Сергеевич;+79234567890;авто
kuznetsova89@mail.ru;Кузнецова Татьяна Дмитриевна;+79345678901;ЖД
smirnov23@bk.ru;Смирнов Евгений Александрович;+79456789012;море
popova12@gmail.com;Попова Анна Андреевна;+79567890123;авто
vasiliev89@rambler.ru;Васильев Сергей Владимирович;+79678901234;ЖД
morozova78@yandex.ru;Морозова Мария Михайловна;+79789012345;море
nikolaev34@mail.ru;Николаев Петр Сергеевич;+79890123456;авто
fedorova12@bk.ru;Федорова Елена Геннадьевна;+79901234567;ЖД
